dataset,model,feature,feature_label,repeat,average_precision_decrease
htru2,logistic_regression,profile_excess_kurtosis,Profile excess kurtosis,13,0.85797496146
htru2,logistic_regression,profile_excess_kurtosis,Profile excess kurtosis,14,0.854453818388
htru2,logistic_regression,profile_excess_kurtosis,Profile excess kurtosis,15,0.858623101975
htru2,logistic_regression,profile_excess_kurtosis,Profile excess kurtosis,16,0.858430829343
htru2,logistic_regression,profile_excess_kurtosis,Profile excess kurtosis,17,0.858541654461
htru2,logistic_regression,profile_excess_kurtosis,Profile excess kurtosis,18,0.857302909536
htru2,logistic_regression,profile_excess_kurtosis,Profile excess kurtosis,19,0.852992518468
htru2,logistic_regression,profile_excess_kurtosis,Profile excess kurtosis,20,0.854877890753
htru2,logistic_regression,profile_excess_kurtosis,Profile excess kurtosis,21,0.856499634331
htru2,logistic_regression,profile_excess_kurtosis,Profile excess kurtosis,22,0.85758225421
htru2,logistic_regression,profile_excess_kurtosis,Profile excess kurtosis,23,0.858486089947
htru2,logistic_regression,profile_excess_kurtosis,Profile excess kurtosis,24,0.860808501336
htru2,logistic_regression,profile_excess_kurtosis,Profile excess kurtosis,25,0.858572646081
htru2,logistic_regression,profile_excess_kurtosis,Profile excess kurtosis,26,0.852635769911
htru2,logistic_regression,profile_excess_kurtosis,Profile excess kurtosis,27,0.856082967105
htru2,logistic_regression,profile_excess_kurtosis,Profile excess kurtosis,28,0.854969522711
htru2,logistic_regression,profile_excess_kurtosis,Profile excess kurtosis,29,0.854221403739
htru2,logistic_regression,profile_skewness,Profile skewness,0,0.0115441860108
htru2,logistic_regression,profile_skewness,Profile skewness,1,0.0129581820119
htru2,logistic_regression,profile_skewness,Profile skewness,2,0.0291414989476
htru2,logistic_regression,profile_skewness,Profile skewness,3,0.0168721659849
htru2,logistic_regression,profile_skewness,Profile skewness,4,0.00984547099452
htru2,logistic_regression,profile_skewness,Profile skewness,5,0.0209008090298
htru2,logistic_regression,profile_skewness,Profile skewness,6,0.016539123012
htru2,logistic_regression,profile_skewness,Profile skewness,7,0.030165361831
htru2,logistic_regression,profile_skewness,Profile skewness,8,0.0282072599682
htru2,logistic_regression,profile_skewness,Profile skewness,9,0.016895671084
htru2,logistic_regression,profile_skewness,Profile skewness,10,0.0117155275863
htru2,logistic_regression,profile_skewness,Profile skewness,11,0.0236603334962
htru2,logistic_regression,profile_skewness,Profile skewness,12,0.0243566234726
htru2,logistic_regression,profile_skewness,Profile skewness,13,0.0164948907178
htru2,logistic_regression,profile_skewness,Profile skewness,14,0.0307060172562
htru2,logistic_regression,profile_skewness,Profile skewness,15,0.0192310992225
htru2,logistic_regression,profile_skewness,Profile skewness,16,0.0158879692331
htru2,logistic_regression,profile_skewness,Profile skewness,17,0.00990740443388
htru2,logistic_regression,profile_skewness,Profile skewness,18,0.013020234456
htru2,logistic_regression,profile_skewness,Profile skewness,19,0.0254002200768
htru2,logistic_regression,profile_skewness,Profile skewness,20,0.0115914605637
htru2,logistic_regression,profile_skewness,Profile skewness,21,0.0193061458734
htru2,logistic_regression,profile_skewness,Profile skewness,22,0.018842658259
htru2,logistic_regression,profile_skewness,Profile skewness,23,0.0170174603319
htru2,logistic_regression,profile_skewness,Profile skewness,24,0.00781902904975
htru2,logistic_regression,profile_skewness,Profile skewness,25,0.0154818528944
htru2,logistic_regression,profile_skewness,Profile skewness,26,0.0224134585349
htru2,logistic_regression,profile_skewness,Profile skewness,27,0.0226436998172
htru2,logistic_regression,profile_skewness,Profile skewness,28,0.0166500573482
htru2,logistic_regression,profile_skewness,Profile skewness,29,0.0275507692536
htru2,logistic_regression,dm_snr_mean,Dispersion-measure signal-to-noise ratio mean,0,0.0193097996842
htru2,logistic_regression,dm_snr_mean,Dispersion-measure signal-to-noise ratio mean,1,0.0185791631516
htru2,logistic_regression,dm_snr_mean,Dispersion-measure signal-to-noise ratio mean,2,0.0215624307745
htru2,logistic_regression,dm_snr_mean,Dispersion-measure signal-to-noise ratio mean,3,0.0171914284842
htru2,logistic_regression,dm_snr_mean,Dispersion-measure signal-to-noise ratio mean,4,0.0143671035903
htru2,logistic_regression,dm_snr_mean,Dispersion-measure signal-to-noise ratio mean,5,0.0197795105912
htru2,logistic_regression,dm_snr_mean,Dispersion-measure signal-to-noise ratio mean,6,0.0187838660663
htru2,logistic_regression,dm_snr_mean,Dispersion-measure signal-to-noise ratio mean,7,0.0176161494608
htru2,logistic_regression,dm_snr_mean,Dispersion-measure signal-to-noise ratio mean,8,0.0141402064984
htru2,logistic_regression,dm_snr_mean,Dispersion-measure signal-to-noise ratio mean,9,0.0167763367601
htru2,logistic_regression,dm_snr_mean,Dispersion-measure signal-to-noise ratio mean,10,0.0151033550991
htru2,logistic_regression,dm_snr_mean,Dispersion-measure signal-to-noise ratio mean,11,0.0164292503242
htru2,logistic_regression,dm_snr_mean,Dispersion-measure signal-to-noise ratio mean,12,0.0181918038682
htru2,logistic_regression,dm_snr_mean,Dispersion-measure signal-to-noise ratio mean,13,0.0187055295424
htru2,logistic_regression,dm_snr_mean,Dispersion-measure signal-to-noise ratio mean,14,0.0221890783717
htru2,logistic_regression,dm_snr_mean,Dispersion-measure signal-to-noise ratio mean,15,0.0140960156792
htru2,logistic_regression,dm_snr_mean,Dispersion-measure signal-to-noise ratio mean,16,0.0179486334959
htru2,logistic_regression,dm_snr_mean,Dispersion-measure signal-to-noise ratio mean,17,0.0154373539978
htru2,logistic_regression,dm_snr_mean,Dispersion-measure signal-to-noise ratio mean,18,0.0140275306988
htru2,logistic_regression,dm_snr_mean,Dispersion-measure signal-to-noise ratio mean,19,0.0200471831048
htru2,logistic_regression,dm_snr_mean,Dispersion-measure signal-to-noise ratio mean,20,0.0117344171802
htru2,logistic_regression,dm_snr_mean,Dispersion-measure signal-to-noise ratio mean,21,0.0231806887678
htru2,logistic_regression,dm_snr_mean,Dispersion-measure signal-to-noise ratio mean,22,0.0141660317324
htru2,logistic_regression,dm_snr_mean,Dispersion-measure signal-to-noise ratio mean,23,0.0170981787066
htru2,logistic_regression,dm_snr_mean,Dispersion-measure signal-to-noise ratio mean,24,0.0161801450599
htru2,logistic_regression,dm_snr_mean,Dispersion-measure signal-to-noise ratio mean,25,0.0158780947379
htru2,logistic_regression,dm_snr_mean,Dispersion-measure signal-to-noise ratio mean,26,0.0235947750274
htru2,logistic_regression,dm_snr_mean,Dispersion-measure signal-to-noise ratio mean,27,0.0171767499118
htru2,logistic_regression,dm_snr_mean,Dispersion-measure signal-to-noise ratio mean,28,0.0182029130101
htru2,logistic_regression,dm_snr_mean,Dispersion-measure signal-to-noise ratio mean,29,0.0199769792163
htru2,logistic_regression,dm_snr_standard_deviation,Dispersion-measure signal-to-noise ratio standard deviation,0,0.0799259897044
htru2,logistic_regression,dm_snr_standard_deviation,Dispersion-measure signal-to-noise ratio standard deviation,1,0.073271080029
htru2,logistic_regression,dm_snr_standard_deviation,Dispersion-measure signal-to-noise ratio standard deviation,2,0.0853661037285
htru2,logistic_regression,dm_snr_standard_deviation,Dispersion-measure signal-to-noise ratio standard deviation,3,0.0783035676962
htru2,logistic_regression,dm_snr_standard_deviation,Dispersion-measure signal-to-noise ratio standard deviation,4,0.087017063444
htru2,logistic_regression,dm_snr_standard_deviation,Dispersion-measure signal-to-noise ratio standard deviation,5,0.0782058804077
htru2,logistic_regression,dm_snr_standard_deviation,Dispersion-measure signal-to-noise ratio standard deviation,6,0.0827878007218
htru2,logistic_regression,dm_snr_standard_deviation,Dispersion-measure signal-to-noise ratio standard deviation,7,0.0712894989938
htru2,logistic_regression,dm_snr_standard_deviation,Dispersion-measure signal-to-noise ratio standard deviation,8,0.0894922290728
htru2,logistic_regression,dm_snr_standard_deviation,Dispersion-measure signal-to-noise ratio standard deviation,9,0.0806168712655
htru2,logistic_regression,dm_snr_standard_deviation,Dispersion-measure signal-to-noise ratio standard deviation,10,0.0877575700843
htru2,logistic_regression,dm_snr_standard_deviation,Dispersion-measure signal-to-noise ratio standard deviation,11,0.0733314823769
htru2,logistic_regression,dm_snr_standard_deviation,Dispersion-measure signal-to-noise ratio standard deviation,12,0.0779122110595
htru2,logistic_regression,dm_snr_standard_deviation,Dispersion-measure signal-to-noise ratio standard deviation,13,0.0709415679311
htru2,logistic_regression,dm_snr_standard_deviation,Dispersion-measure signal-to-noise ratio standard deviation,14,0.0732717600365
htru2,logistic_regression,dm_snr_standard_deviation,Dispersion-measure signal-to-noise ratio standard deviation,15,0.0889761019215
htru2,logistic_regression,dm_snr_standard_deviation,Dispersion-measure signal-to-noise ratio standard deviation,16,0.0843418656346
htru2,logistic_regression,dm_snr_standard_deviation,Dispersion-measure signal-to-noise ratio standard deviation,17,0.0790908576511
htru2,logistic_regression,dm_snr_standard_deviation,Dispersion-measure signal-to-noise ratio standard deviation,18,0.0860907962949
htru2,logistic_regression,dm_snr_standard_deviation,Dispersion-measure signal-to-noise ratio standard deviation,19,0.0742760360416
htru2,logistic_regression,dm_snr_standard_deviation,Dispersion-measure signal-to-noise ratio standard deviation,20,0.0904924895837
htru2,logistic_regression,dm_snr_standard_deviation,Dispersion-measure signal-to-noise ratio standard deviation,21,0.0717342396014
htru2,logistic_regression,dm_snr_standard_deviation,Dispersion-measure signal-to-noise ratio standard deviation,22,0.0873321363412
htru2,logistic_regression,dm_snr_standard_deviation,Dispersion-measure signal-to-noise ratio standard deviation,23,0.0862329744218
htru2,logistic_regression,dm_snr_standard_deviation,Dispersion-measure signal-to-noise ratio standard deviation,24,0.0744786517847
htru2,logistic_regression,dm_snr_standard_deviation,Dispersion-measure signal-to-noise ratio standard deviation,25,0.079332360721
