transport,feature_id,n,n_target,n_matched,n_template_families,target_mean_score,matched_mean_score,target_minus_matched_mean,auroc,auroc_ci_low,auroc_ci_high,auprc,auprc_ci_low,auprc_ci_high,tpr_at_1pct_fpr,tpr_at_1pct_fpr_ci_low,tpr_at_1pct_fpr_ci_high
random_j_2,23893,204,102,102,51,0.0931502478368416,0.10496614160764889,-0.011815893770807287,0.47126105344098423,0.3599577085736255,0.5796832948865818,0.4620982413759838,0.4086923212065684,0.5526408028393437,0.0,0.0,0.049019607843137254
random_j_3,30032,204,102,102,51,-0.04546787484529583,-0.021336314495534216,-0.024131560349761615,0.3844675124951941,0.2745049980776625,0.4975994809688579,0.47506985561357434,0.39597073119087,0.5749984513411093,0.049019607843137254,0.00980392156862745,0.12745098039215685
random_j_3,58667,204,102,102,51,-0.1454183124873203,-0.023905084587122295,-0.121513227900198,0.12754709727028066,0.06718569780853519,0.19761630142252978,0.3284170261861685,0.3197235319974003,0.35675323465655506,0.0,0.0,0.0
random_j_3,22004,204,102,102,51,-0.1102619400731854,0.029454880343823164,-0.13971682041700856,0.14287773933102654,0.07525951557093426,0.22289504036908883,0.334264186207077,0.3215318796109915,0.37208201036960753,0.0,0.0,0.0
random_j_3,30686,204,102,102,51,-0.10388500137510252,0.08021550440781877,-0.1841005057829213,0.06997308727412534,0.029315647827758556,0.11908881199538639,0.31719220237515766,0.3140178893252047,0.33041605573823807,0.0,0.0,0.0
random_j_3,41533,204,102,102,51,-0.009301505398516562,0.010419030783369261,-0.019720536181885823,0.41762783544790466,0.31324250288350636,0.5241253364090734,0.45558091055936967,0.3985143270815282,0.5565124268005099,0.00980392156862745,0.0,0.058823529411764705
random_j_3,23893,204,102,102,51,-0.14280424522482515,-0.08831690382851544,-0.054487341396309716,0.34159938485198005,0.23510188389081124,0.45309496347558625,0.41008837758969163,0.36691780641392974,0.48751610118217553,0.00980392156862745,0.0,0.0392156862745098
random_j_4,30032,204,102,102,51,-0.018952106759659762,0.018880171185432403,-0.03783227794509217,0.36284121491733945,0.2614355055747789,0.4712634563629371,0.411183711252459,0.3708665730457186,0.49138513868412276,0.0,0.0,0.0196078431372549
random_j_4,58667,204,102,102,51,-0.21953428106030962,-0.03738786587493058,-0.18214641518537905,0.07420222991157246,0.032871972318339104,0.12312812379853882,0.31682641897960195,0.31375431251585933,0.33232650119781915,0.0,0.0,0.0
random_j_4,22004,204,102,102,51,0.0702478964794507,0.17008875767864726,-0.09984086119919655,0.16858900422914266,0.10207612456747406,0.24192618223760093,0.3375771160427701,0.3258439696558011,0.36260976206400913,0.0,0.0,0.0
random_j_4,30686,204,102,102,51,-0.011618093176580527,0.07814426903211165,-0.08976236220869217,0.16205305651672433,0.09381007304882738,0.23952326028450596,0.34382963636915875,0.32555981839669673,0.40268709360078997,0.0,0.0,0.049019607843137254
random_j_4,41533,204,102,102,51,-0.06482083417986538,-0.023010009696579303,-0.041810824483286074,0.3675509419454056,0.26172385620915034,0.47952950788158377,0.4332642972250432,0.3763784618168333,0.5263131182294878,0.0196078431372549,0.0,0.058823529411764705
random_j_4,23893,204,102,102,51,0.10067585607255608,-0.08374168580927539,0.18441754188183146,0.9246443675509419,0.8715878508266052,0.9681853133410226,0.9266213534221641,0.8752205167347861,0.9700915089186417,0.38235294117647056,0.2549019607843137,0.7647058823529411
random_j_5,30032,204,102,102,51,0.03326553561469065,0.0037113749330826835,0.029554160681607967,0.6115916955017302,0.5107650903498655,0.707999327181853,0.5927309857466375,0.5065189432522907,0.693603407374074,0.049019607843137254,0.0,0.11764705882352941
random_j_5,58667,204,102,102,51,-0.13193042398266056,-0.022198553103497068,-0.10973187087916349,0.1525374855824683,0.09342560553633218,0.21559256055363302,0.33372004310376946,0.32405497815022005,0.3572608313464721,0.0,0.0,0.0
random_j_5,22004,204,102,102,51,-0.17849057330978194,0.011379589764949153,-0.1898701630747311,0.03143021914648213,0.009323337178008461,0.06084438677431737,0.31130861994802084,0.3117885595807125,0.31846183845814224,0.0,0.0,0.0
random_j_5,30686,204,102,102,51,-0.03168501153955802,0.07463608399791387,-0.10632109553747189,0.17550941945405613,0.0990003844675125,0.26268742791234145,0.35678282306945186,0.32655701216501554,0.4283854100074323,0.00980392156862745,0.0,0.06862745098039216
random_j_5,41533,204,102,102,51,-0.4265152029613234,-0.16545708397604234,-0.2610581189852811,0.031237985390234514,0.008938869665513266,0.0587298154555938,0.3125608300367682,0.3120875282125312,0.3194334690984746,0.0,0.0,0.0
random_j_5,23893,204,102,102,51,0.053226366693920946,0.11111583212828811,-0.05788946543436717,0.31564782775855443,0.19790465205690122,0.4428128604382927,0.39355730296531743,0.35165599923763124,0.48711968338945555,0.0,0.0,0.0392156862745098
